Id,SleepDay,Weekday,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1644430081,4/30/2016,Saturday,1,124,142
1644430081,5/2/2016,Monday,1,796,961
1644430081,5/8/2016,Sunday,1,137,154
1844505072,4/3/2016,Sunday,1,169,190
1844505072,4/4/2016,Monday,1,771,771
1844505072,4/9/2016,Saturday,1,221,636
1844505072,4/10/2016,Sunday,1,277,325
1844505072,4/15/2016,Friday,1,644,961
1844505072,4/30/2016,Saturday,1,722,961
1844505072,5/1/2016,Sunday,1,590,961
1927972279,3/11/2016,Friday,1,29,36
1927972279,3/12/2016,Saturday,1,608,628
1927972279,3/13/2016,Sunday,1,505,516
1927972279,3/14/2016,Monday,1,173,179
1927972279,3/15/2016,Tuesday,1,68,68
1927972279,3/16/2016,Wednesday,1,599,645
1927972279,3/17/2016,Thursday,1,6,6
1927972279,3/18/2016,Friday,1,523,553
1927972279,3/19/2016,Saturday,1,583,611
1927972279,3/20/2016,Sunday,1,548,576
1927972279,3/21/2016,Monday,1,334,352
1927972279,3/22/2016,Tuesday,1,379,394
1927972279,3/23/2016,Wednesday,1,447,474
1927972279,3/24/2016,Thursday,1,428,437
1927972279,3/25/2016,Friday,1,60,63
1927972279,3/26/2016,Saturday,1,387,406
1927972279,3/27/2016,Sunday,1,112,120
1927972279,3/28/2016,Monday,1,219,230
1927972279,3/29/2016,Tuesday,1,563,588
1927972279,3/30/2016,Wednesday,1,401,404
1927972279,3/31/2016,Thursday,1,493,520
1927972279,4/1/2016,Friday,1,369,383
1927972279,4/2/2016,Saturday,1,280,315
1927972279,4/3/2016,Sunday,1,107,111
1927972279,4/4/2016,Monday,1,465,483
1927972279,4/5/2016,Tuesday,1,393,420
1927972279,4/6/2016,Wednesday,1,414,429
1927972279,4/9/2016,Saturday,1,39,47
1927972279,4/10/2016,Sunday,1,479,496
1927972279,4/11/2016,Monday,1,496,525
1927972279,4/12/2016,Tuesday,3,750,775
1927972279,4/12/2016,Tuesday,1,482,498
1927972279,4/13/2016,Wednesday,1,398,422
1927972279,4/15/2016,Friday,2,475,499
1927972279,4/26/2016,Tuesday,1,296,315
1927972279,4/28/2016,Thursday,1,166,178
2022484408,3/13/2016,Sunday,1,135,144
2026352035,3/11/2016,Friday,1,126,149
2026352035,3/12/2016,Saturday,1,540,572
2026352035,3/13/2016,Sunday,1,648,671
2026352035,3/14/2016,Monday,1,510,538
2026352035,3/15/2016,Tuesday,1,422,436
2026352035,3/16/2016,Wednesday,1,144,163
2026352035,3/17/2016,Thursday,1,479,510
2026352035,3/18/2016,Friday,1,575,611
2026352035,3/19/2016,Saturday,1,515,550
2026352035,3/20/2016,Sunday,1,545,588
2026352035,3/21/2016,Monday,1,567,604
2026352035,3/22/2016,Tuesday,1,520,545
2026352035,3/23/2016,Wednesday,1,562,600
2026352035,3/24/2016,Thursday,1,531,567
2026352035,3/25/2016,Friday,1,495,526
2026352035,3/26/2016,Saturday,1,579,621
2026352035,3/27/2016,Sunday,1,545,581
2026352035,3/28/2016,Monday,1,510,539
2026352035,3/29/2016,Tuesday,1,482,521
2026352035,3/30/2016,Wednesday,1,468,520
2026352035,3/31/2016,Thursday,1,524,555
2026352035,4/1/2016,Friday,1,514,544
2026352035,4/2/2016,Saturday,1,528,575
2026352035,4/3/2016,Sunday,1,534,605
2026352035,4/4/2016,Monday,1,493,533
2026352035,4/5/2016,Tuesday,1,531,571
2026352035,4/6/2016,Wednesday,1,465,517
2026352035,4/7/2016,Thursday,1,540,597
2026352035,4/8/2016,Friday,1,521,548
2026352035,4/9/2016,Saturday,1,490,555
2026352035,4/10/2016,Sunday,1,504,556
2026352035,4/11/2016,Monday,1,541,582
2026352035,4/12/2016,Tuesday,1,503,546
2026352035,4/12/2016,Tuesday,1,341,354
2026352035,4/13/2016,Wednesday,1,531,565
2026352035,4/14/2016,Thursday,1,545,568
2026352035,4/15/2016,Friday,1,523,573
2026352035,4/16/2016,Saturday,1,524,567
2026352035,4/17/2016,Sunday,1,437,498
2026352035,4/19/2016,Tuesday,1,498,540
2026352035,4/20/2016,Wednesday,1,461,510
2026352035,4/21/2016,Thursday,1,477,514
2026352035,4/22/2016,Friday,1,520,545
2026352035,4/23/2016,Saturday,1,522,554
2026352035,4/24/2016,Sunday,1,555,591
2026352035,4/25/2016,Monday,1,506,531
2026352035,4/27/2016,Wednesday,1,508,545
2026352035,4/28/2016,Thursday,1,513,545
2026352035,4/29/2016,Friday,1,490,510
2026352035,4/30/2016,Saturday,1,573,607
2026352035,5/1/2016,Sunday,1,527,546
2026352035,5/2/2016,Monday,1,511,543
2026352035,5/4/2016,Wednesday,1,538,560
2026352035,5/5/2016,Thursday,1,468,485
2026352035,5/6/2016,Friday,1,524,548
2026352035,5/7/2016,Saturday,1,511,521
2026352035,5/8/2016,Sunday,1,541,568
2026352035,5/9/2016,Monday,1,531,556
2026352035,5/10/2016,Tuesday,1,357,380
2026352035,5/11/2016,Wednesday,1,523,553
2026352035,5/12/2016,Thursday,1,456,485
2320127002,4/23/2016,Saturday,1,61,69
2347167796,3/11/2016,Friday,1,14,17
2347167796,3/12/2016,Saturday,1,474,499
2347167796,3/13/2016,Sunday,1,577,620
2347167796,3/14/2016,Monday,1,432,468
2347167796,3/15/2016,Tuesday,1,501,565
2347167796,3/16/2016,Wednesday,1,446,475
2347167796,3/17/2016,Thursday,1,383,413
2347167796,3/18/2016,Friday,1,435,536
2347167796,3/19/2016,Saturday,1,250,261
2347167796,3/20/2016,Sunday,1,529,585
2347167796,3/21/2016,Monday,1,452,484
2347167796,3/22/2016,Tuesday,1,488,523
2347167796,3/23/2016,Wednesday,1,449,493
2347167796,3/24/2016,Thursday,1,435,491
2347167796,3/25/2016,Friday,1,313,350
2347167796,3/27/2016,Sunday,1,107,144
2347167796,3/28/2016,Monday,1,516,560
2347167796,3/29/2016,Tuesday,1,422,472
2347167796,3/30/2016,Wednesday,1,472,514
2347167796,3/31/2016,Thursday,1,517,577
2347167796,4/1/2016,Friday,1,374,391
2347167796,4/2/2016,Saturday,1,417,463
2347167796,4/3/2016,Sunday,1,579,625
2347167796,4/4/2016,Monday,1,472,525
2347167796,4/5/2016,Tuesday,1,395,448
2347167796,4/6/2016,Wednesday,1,372,425
2347167796,4/7/2016,Thursday,1,70,76
2347167796,4/8/2016,Friday,1,380,405
2347167796,4/9/2016,Saturday,1,18,21
2347167796,4/10/2016,Sunday,1,601,659
2347167796,4/11/2016,Monday,1,353,399
2347167796,4/13/2016,Wednesday,1,467,531
2347167796,4/14/2016,Thursday,1,445,489
2347167796,4/15/2016,Friday,1,452,504
2347167796,4/17/2016,Sunday,1,556,602
2347167796,4/18/2016,Monday,1,500,557
2347167796,4/19/2016,Tuesday,1,465,514
2347167796,4/21/2016,Thursday,1,460,484
2347167796,4/22/2016,Friday,1,405,461
2347167796,4/23/2016,Saturday,1,374,386
2347167796,4/24/2016,Sunday,1,442,459
2347167796,4/25/2016,Monday,1,433,471
2347167796,4/26/2016,Tuesday,1,436,490
2347167796,4/27/2016,Wednesday,1,448,499
2347167796,4/28/2016,Thursday,1,408,450
2347167796,4/29/2016,Friday,1,411,473
3977333714,3/13/2016,Sunday,1,304,475
3977333714,3/14/2016,Monday,1,303,421
3977333714,3/15/2016,Tuesday,1,257,387
3977333714,3/16/2016,Wednesday,1,208,321
3977333714,3/17/2016,Thursday,1,356,481
3977333714,4/1/2016,Friday,1,297,430
3977333714,4/2/2016,Saturday,1,199,290
3977333714,4/3/2016,Sunday,1,222,359
3977333714,4/4/2016,Monday,1,205,374
3977333714,4/5/2016,Tuesday,1,378,486
3977333714,4/6/2016,Wednesday,1,296,426
3977333714,4/7/2016,Thursday,1,221,405
3977333714,4/8/2016,Friday,1,305,480
3977333714,4/9/2016,Saturday,1,273,418
3977333714,4/10/2016,Sunday,1,293,452
3977333714,4/11/2016,Monday,1,282,415
3977333714,4/12/2016,Tuesday,1,274,469
3977333714,4/13/2016,Wednesday,2,295,456
3977333714,4/14/2016,Thursday,1,291,397
3977333714,4/15/2016,Friday,1,424,556
3977333714,4/16/2016,Saturday,1,283,510
3977333714,4/17/2016,Sunday,1,381,566
3977333714,4/18/2016,Monday,2,412,522
3977333714,4/19/2016,Tuesday,1,219,395
3977333714,4/20/2016,Wednesday,2,152,305
3977333714,4/21/2016,Thursday,1,332,512
3977333714,4/22/2016,Friday,1,355,476
3977333714,4/23/2016,Saturday,1,235,372
3977333714,4/24/2016,Sunday,1,310,526
3977333714,4/25/2016,Monday,1,262,467
3977333714,4/26/2016,Tuesday,1,250,371
3977333714,4/27/2016,Wednesday,1,349,540
3977333714,4/28/2016,Thursday,1,261,423
3977333714,4/29/2016,Friday,1,333,478
3977333714,4/30/2016,Saturday,1,237,382
3977333714,5/1/2016,Sunday,1,383,626
3977333714,5/2/2016,Monday,1,230,384
3977333714,5/3/2016,Tuesday,1,292,500
3977333714,5/4/2016,Wednesday,1,213,336
3977333714,5/5/2016,Thursday,1,318,480
3977333714,5/6/2016,Friday,1,323,512
3977333714,5/7/2016,Saturday,1,237,443
3977333714,5/8/2016,Sunday,2,259,456
3977333714,5/10/2016,Tuesday,1,312,452
4020332650,3/12/2016,Saturday,1,384,429
4020332650,3/13/2016,Sunday,1,505,533
4020332650,3/14/2016,Monday,1,265,290
4020332650,3/15/2016,Tuesday,1,331,341
4020332650,3/16/2016,Wednesday,1,459,493
4020332650,3/17/2016,Thursday,1,374,407
4020332650,3/30/2016,Wednesday,1,366,387
4020332650,3/31/2016,Thursday,1,259,268
4020332650,4/1/2016,Friday,1,429,450
4020332650,4/2/2016,Saturday,1,499,508
4020332650,4/3/2016,Sunday,1,387,399
4020332650,4/4/2016,Monday,1,463,478
4020332650,4/6/2016,Wednesday,1,245,257
4020332650,4/10/2016,Sunday,1,74,74
4020332650,4/11/2016,Monday,1,426,438
4020332650,4/12/2016,Tuesday,1,501,541
4020332650,4/16/2016,Saturday,1,77,77
4020332650,5/3/2016,Tuesday,1,322,332
4020332650,5/4/2016,Wednesday,1,478,536
4020332650,5/5/2016,Thursday,1,226,248
4020332650,5/6/2016,Friday,1,385,408
4020332650,5/8/2016,Sunday,1,364,402
4020332650,5/10/2016,Tuesday,1,442,494
4319703577,3/11/2016,Friday,1,78,90
4319703577,3/12/2016,Saturday,1,503,517
4319703577,3/13/2016,Sunday,1,364,376
4319703577,3/14/2016,Monday,1,94,100
4319703577,3/15/2016,Tuesday,1,458,490
4319703577,3/16/2016,Wednesday,1,496,531
4319703577,3/17/2016,Thursday,1,495,529
4319703577,3/18/2016,Friday,1,481,503
4319703577,3/19/2016,Saturday,1,473,505
4319703577,3/20/2016,Sunday,1,450,488
4319703577,3/21/2016,Monday,1,428,466
4319703577,3/22/2016,Tuesday,1,63,64
4319703577,3/23/2016,Wednesday,1,490,510
4319703577,3/24/2016,Thursday,1,412,429
4319703577,3/25/2016,Friday,1,519,558
4319703577,3/26/2016,Saturday,1,489,517
4319703577,3/27/2016,Sunday,1,583,613
4319703577,3/28/2016,Monday,1,498,525
4319703577,3/29/2016,Tuesday,1,514,547
4319703577,3/30/2016,Wednesday,1,454,478
4319703577,3/31/2016,Thursday,1,38,47
4319703577,4/1/2016,Friday,1,466,484
4319703577,4/2/2016,Saturday,1,529,543
4319703577,4/3/2016,Sunday,1,568,583
4319703577,4/4/2016,Monday,1,473,505
4319703577,4/5/2016,Tuesday,1,450,474
4319703577,4/6/2016,Wednesday,1,470,504
4319703577,4/7/2016,Thursday,1,433,450
4319703577,4/14/2016,Thursday,1,535,557
4319703577,4/15/2016,Friday,1,465,491
4319703577,4/16/2016,Saturday,1,506,522
4319703577,4/18/2016,Monday,1,515,551
4319703577,4/19/2016,Tuesday,2,461,498
4319703577,4/20/2016,Wednesday,1,523,543
4319703577,4/21/2016,Thursday,1,59,65
4319703577,4/22/2016,Friday,1,533,550
4319703577,4/23/2016,Saturday,1,692,722
4319703577,4/24/2016,Sunday,1,467,501
4319703577,4/25/2016,Monday,1,488,506
4319703577,4/26/2016,Tuesday,1,505,516
4319703577,4/27/2016,Wednesday,1,286,307
4319703577,4/28/2016,Thursday,1,497,522
4319703577,4/29/2016,Friday,1,523,546
4319703577,4/30/2016,Saturday,1,490,516
4319703577,5/1/2016,Sunday,1,484,500
4319703577,5/2/2016,Monday,1,478,506
4319703577,5/3/2016,Tuesday,1,474,512
4319703577,5/6/2016,Friday,1,450,491
4319703577,5/7/2016,Saturday,1,507,530
4319703577,5/8/2016,Sunday,1,602,638
4319703577,5/9/2016,Monday,1,535,565
4319703577,5/10/2016,Tuesday,1,487,517
4319703577,5/11/2016,Wednesday,1,529,558
4319703577,5/12/2016,Thursday,1,302,321
4388161847,4/15/2016,Friday,1,499,526
4388161847,4/16/2016,Saturday,2,426,448
4388161847,4/17/2016,Sunday,2,619,641
4388161847,4/18/2016,Monday,1,99,104
4388161847,4/19/2016,Tuesday,1,329,338
4388161847,4/20/2016,Wednesday,1,421,451
4388161847,4/21/2016,Thursday,1,442,458
4388161847,4/22/2016,Friday,1,82,85
4388161847,4/23/2016,Saturday,1,478,501
4388161847,4/24/2016,Sunday,3,552,595
4388161847,4/26/2016,Tuesday,1,319,346
4388161847,4/27/2016,Wednesday,1,439,500
4388161847,4/28/2016,Thursday,1,428,458
4388161847,4/30/2016,Saturday,2,409,430
4388161847,5/1/2016,Sunday,1,547,597
4388161847,5/2/2016,Monday,2,368,376
4388161847,5/4/2016,Wednesday,1,390,414
4388161847,5/5/2016,Thursday,1,471,495
4388161847,5/7/2016,Saturday,1,472,496
4388161847,5/8/2016,Sunday,2,529,541
4388161847,5/9/2016,Monday,1,62,65
4388161847,5/10/2016,Tuesday,1,354,375
4388161847,5/11/2016,Wednesday,1,469,494
4445114986,3/12/2016,Saturday,1,361,381
4445114986,3/13/2016,Sunday,1,348,353
4445114986,3/15/2016,Tuesday,1,487,560
4445114986,3/16/2016,Wednesday,1,388,418
4445114986,3/17/2016,Thursday,1,217,231
4445114986,3/19/2016,Saturday,1,137,156
4445114986,3/20/2016,Sunday,1,539,552
4445114986,3/21/2016,Monday,1,195,209
4445114986,3/22/2016,Tuesday,1,344,360
4445114986,3/24/2016,Thursday,1,380,405
4445114986,3/25/2016,Friday,1,325,344
4445114986,3/26/2016,Saturday,1,156,166
4445114986,3/27/2016,Sunday,1,318,325
4445114986,3/28/2016,Monday,1,359,376
4445114986,3/29/2016,Tuesday,1,442,478
4445114986,3/31/2016,Thursday,1,360,416
4445114986,4/1/2016,Friday,1,311,337
4445114986,4/2/2016,Saturday,1,469,495
4445114986,4/5/2016,Tuesday,1,465,496
4445114986,4/6/2016,Wednesday,1,431,450
4445114986,4/7/2016,Thursday,1,262,268
4445114986,4/8/2016,Friday,1,219,233
4445114986,4/9/2016,Saturday,1,391,443
4445114986,4/10/2016,Sunday,1,347,369
4445114986,4/11/2016,Monday,1,395,428
4445114986,4/12/2016,Tuesday,2,429,457
4445114986,4/12/2016,Tuesday,1,308,332
4445114986,4/13/2016,Wednesday,2,370,406
4445114986,4/14/2016,Thursday,1,441,492
4445114986,4/15/2016,Friday,2,337,379
4445114986,4/16/2016,Saturday,1,462,499
4445114986,4/17/2016,Sunday,1,98,107
4445114986,4/19/2016,Tuesday,2,388,424
4445114986,4/20/2016,Wednesday,1,439,462
4445114986,4/21/2016,Thursday,1,436,469
4445114986,4/22/2016,Friday,1,388,417
4445114986,4/25/2016,Monday,1,328,345
4445114986,4/26/2016,Tuesday,2,353,391
4445114986,4/27/2016,Wednesday,1,332,374
4445114986,4/28/2016,Thursday,1,419,442
4445114986,4/29/2016,Friday,1,106,108
4445114986,4/30/2016,Saturday,1,322,353
4445114986,5/1/2016,Sunday,2,439,459
4445114986,5/2/2016,Monday,1,502,542
4445114986,5/3/2016,Tuesday,2,417,450
4445114986,5/4/2016,Wednesday,2,337,363
4445114986,5/5/2016,Thursday,2,462,513
4445114986,5/6/2016,Friday,2,374,402
4445114986,5/7/2016,Saturday,2,401,436
4445114986,5/8/2016,Sunday,1,361,391
4445114986,5/9/2016,Monday,1,457,533
4445114986,5/10/2016,Tuesday,1,405,426
4445114986,5/11/2016,Wednesday,1,499,530
4445114986,5/12/2016,Thursday,1,483,501
4558609924,3/30/2016,Wednesday,1,96,101
4558609924,3/31/2016,Thursday,1,190,191
4558609924,4/2/2016,Saturday,1,86,87
4558609924,4/3/2016,Sunday,1,274,277
4558609924,4/21/2016,Thursday,1,126,137
4558609924,4/26/2016,Tuesday,1,103,121
4558609924,4/29/2016,Friday,1,171,179
4558609924,5/1/2016,Sunday,1,115,129
4558609924,5/8/2016,Sunday,1,123,134
4702921684,3/11/2016,Friday,1,119,124
4702921684,3/12/2016,Saturday,1,454,478
4702921684,3/13/2016,Sunday,1,281,288
4702921684,3/14/2016,Monday,1,437,457
4702921684,3/15/2016,Tuesday,1,453,467
4702921684,3/16/2016,Wednesday,1,461,488
4702921684,3/17/2016,Thursday,1,446,464
4702921684,3/18/2016,Friday,1,345,364
4702921684,3/21/2016,Monday,1,99,102
4702921684,3/22/2016,Tuesday,1,428,458
4702921684,3/23/2016,Wednesday,1,429,466
4702921684,3/24/2016,Thursday,1,428,460
4702921684,3/25/2016,Friday,1,458,487
4702921684,3/26/2016,Saturday,1,404,418
4702921684,3/27/2016,Sunday,1,563,598
4702921684,3/28/2016,Monday,1,419,426
4702921684,3/29/2016,Tuesday,1,413,430
4702921684,3/30/2016,Wednesday,1,421,455
4702921684,3/31/2016,Thursday,1,420,425
4702921684,4/1/2016,Friday,1,454,475
4702921684,4/2/2016,Saturday,1,538,566
4702921684,4/3/2016,Sunday,1,558,586
4702921684,4/4/2016,Monday,1,419,444
4702921684,4/5/2016,Tuesday,1,404,440
4702921684,4/6/2016,Wednesday,1,454,475
4702921684,4/7/2016,Thursday,1,448,460
4702921684,4/8/2016,Friday,1,345,370
4702921684,4/9/2016,Saturday,1,425,588
4702921684,4/10/2016,Sunday,1,533,555
4702921684,4/11/2016,Monday,1,329,334
4702921684,4/12/2016,Tuesday,1,425,439
4702921684,4/13/2016,Wednesday,2,400,430
4702921684,4/14/2016,Thursday,1,384,415
4702921684,4/15/2016,Friday,1,253,257
4702921684,4/16/2016,Saturday,2,382,406
4702921684,4/17/2016,Sunday,1,591,612
4702921684,4/18/2016,Monday,1,293,312
4702921684,4/19/2016,Tuesday,1,457,487
4702921684,4/20/2016,Wednesday,1,454,468
4702921684,4/21/2016,Thursday,1,425,434
4702921684,4/23/2016,Saturday,1,465,475
4702921684,4/24/2016,Sunday,1,480,506
4702921684,4/25/2016,Monday,1,370,380
4702921684,4/26/2016,Tuesday,1,421,429
4702921684,4/27/2016,Wednesday,1,432,449
4702921684,4/28/2016,Thursday,1,442,461
4702921684,4/29/2016,Friday,1,433,447
4702921684,4/30/2016,Saturday,1,479,501
4702921684,5/3/2016,Tuesday,1,327,373
4702921684,5/4/2016,Wednesday,1,412,434
4702921684,5/5/2016,Thursday,1,414,428
4702921684,5/6/2016,Friday,1,404,449
4702921684,5/7/2016,Saturday,1,520,543
4702921684,5/9/2016,Monday,1,435,458
4702921684,5/10/2016,Tuesday,1,416,431
4702921684,5/11/2016,Wednesday,1,354,366
4702921684,5/12/2016,Thursday,1,404,442
5553957443,3/12/2016,Saturday,1,707,760
5553957443,3/13/2016,Sunday,1,756,833
5553957443,3/14/2016,Monday,1,273,313
5553957443,3/15/2016,Tuesday,1,378,429
5553957443,3/16/2016,Wednesday,1,319,365
5553957443,3/17/2016,Thursday,1,311,336
5553957443,3/18/2016,Friday,1,105,115
5553957443,3/21/2016,Monday,1,144,154
5553957443,3/22/2016,Tuesday,1,526,575
5553957443,3/23/2016,Wednesday,1,249,297
5553957443,3/24/2016,Thursday,1,364,418
5553957443,3/25/2016,Friday,1,607,675
5553957443,3/26/2016,Saturday,1,348,377
5553957443,3/27/2016,Sunday,1,665,752
5553957443,3/28/2016,Monday,1,613,688
5553957443,3/29/2016,Tuesday,1,314,358
5553957443,3/30/2016,Wednesday,1,360,407
5553957443,3/31/2016,Thursday,1,351,395
5553957443,4/1/2016,Friday,1,337,360
5553957443,4/2/2016,Saturday,1,791,903
5553957443,4/3/2016,Sunday,1,742,840
5553957443,4/4/2016,Monday,1,413,453
5553957443,4/5/2016,Tuesday,1,340,383
5553957443,4/6/2016,Wednesday,1,385,405
5553957443,4/7/2016,Thursday,1,338,376
5553957443,4/8/2016,Friday,1,379,417
5553957443,4/9/2016,Saturday,1,619,686
5553957443,4/10/2016,Sunday,1,629,709
5553957443,4/11/2016,Monday,1,428,459
5553957443,4/12/2016,Tuesday,1,441,464
5553957443,4/12/2016,Tuesday,1,346,364
5553957443,4/13/2016,Wednesday,2,455,488
5553957443,4/14/2016,Thursday,1,357,418
5553957443,4/15/2016,Friday,1,377,409
5553957443,4/16/2016,Saturday,2,651,686
5553957443,4/17/2016,Sunday,1,350,402
5553957443,4/18/2016,Monday,2,520,541
5553957443,4/19/2016,Tuesday,1,357,410
5553957443,4/20/2016,Wednesday,1,658,678
5553957443,4/21/2016,Thursday,1,399,431
5553957443,4/22/2016,Friday,1,322,353
5553957443,4/23/2016,Saturday,2,631,725
5553957443,4/24/2016,Sunday,2,553,640
5553957443,4/25/2016,Monday,1,433,468
5553957443,4/26/2016,Tuesday,1,412,453
5553957443,4/27/2016,Wednesday,1,347,391
5553957443,4/28/2016,Thursday,1,421,457
5553957443,4/29/2016,Friday,1,450,495
5553957443,4/30/2016,Saturday,2,775,843
5553957443,5/1/2016,Sunday,2,622,686
5553957443,5/2/2016,Monday,1,409,471
5553957443,5/3/2016,Tuesday,1,380,429
5553957443,5/4/2016,Wednesday,1,447,470
5553957443,5/5/2016,Thursday,1,419,464
5553957443,5/6/2016,Friday,1,400,434
5553957443,5/7/2016,Saturday,1,442,470
5553957443,5/8/2016,Sunday,1,568,608
5553957443,5/9/2016,Monday,1,453,494
5553957443,5/10/2016,Tuesday,1,418,443
5553957443,5/11/2016,Wednesday,1,463,486
5553957443,5/12/2016,Thursday,1,438,475
5577150313,3/11/2016,Friday,1,156,161
5577150313,3/12/2016,Saturday,1,523,562
5577150313,3/13/2016,Sunday,1,419,444
5577150313,3/14/2016,Monday,1,364,373
5577150313,3/15/2016,Tuesday,1,470,503
5577150313,3/16/2016,Wednesday,1,446,466
5577150313,3/17/2016,Thursday,1,432,457
5577150313,3/18/2016,Friday,1,421,438
5577150313,3/19/2016,Saturday,1,366,382
5577150313,3/20/2016,Sunday,1,619,655
5577150313,3/21/2016,Monday,1,387,415
5577150313,3/22/2016,Tuesday,1,99,109
5577150313,3/23/2016,Wednesday,1,511,561
5577150313,3/24/2016,Thursday,1,390,414
5577150313,3/25/2016,Friday,1,430,441
5577150313,3/26/2016,Saturday,1,438,471
5577150313,3/27/2016,Sunday,1,330,346
5577150313,3/28/2016,Monday,1,484,517
5577150313,3/29/2016,Tuesday,1,451,478
5577150313,3/30/2016,Wednesday,1,432,449
5577150313,3/31/2016,Thursday,1,426,456
5577150313,4/1/2016,Friday,1,435,447
5577150313,4/2/2016,Saturday,1,355,385
5577150313,4/3/2016,Sunday,1,389,415
5577150313,4/4/2016,Monday,1,435,458
5577150313,4/5/2016,Tuesday,1,390,414
5577150313,4/6/2016,Wednesday,1,393,420
5577150313,4/7/2016,Thursday,1,454,496
5577150313,4/8/2016,Friday,1,451,461
5577150313,4/9/2016,Saturday,1,499,516
5577150313,4/10/2016,Sunday,1,412,442
5577150313,4/11/2016,Monday,1,312,333
5577150313,4/12/2016,Tuesday,1,419,438
5577150313,4/13/2016,Wednesday,1,432,458
5577150313,4/14/2016,Thursday,1,477,497
5577150313,4/15/2016,Friday,1,392,413
5577150313,4/16/2016,Saturday,1,406,445
5577150313,4/17/2016,Sunday,1,549,583
5577150313,4/18/2016,Monday,1,527,553
5577150313,4/19/2016,Tuesday,1,449,465
5577150313,4/20/2016,Wednesday,1,447,480
5577150313,4/21/2016,Thursday,1,414,437
5577150313,4/22/2016,Friday,1,338,366
5577150313,4/23/2016,Saturday,1,384,402
5577150313,4/24/2016,Sunday,1,543,615
5577150313,4/25/2016,Monday,1,421,461
5577150313,4/26/2016,Tuesday,1,354,377
5577150313,4/27/2016,Wednesday,1,424,452
5577150313,4/28/2016,Thursday,1,361,372
5577150313,4/29/2016,Friday,1,459,485
5577150313,4/30/2016,Saturday,1,412,433
5577150313,5/1/2016,Sunday,1,379,398
5577150313,5/2/2016,Monday,2,525,553
5577150313,5/3/2016,Tuesday,1,508,543
5577150313,5/4/2016,Wednesday,1,603,634
5577150313,5/5/2016,Thursday,1,74,78
5577150313,5/10/2016,Tuesday,1,504,562
5577150313,5/11/2016,Wednesday,1,431,476
6117666160,3/11/2016,Friday,1,78,78
6117666160,3/12/2016,Saturday,1,644,668
6117666160,3/13/2016,Sunday,1,117,120
6117666160,3/14/2016,Monday,1,626,670
6117666160,3/15/2016,Tuesday,1,482,501
6117666160,3/16/2016,Wednesday,1,606,655
6117666160,3/17/2016,Thursday,1,638,653
6117666160,3/18/2016,Friday,1,598,654
6117666160,3/19/2016,Saturday,1,611,644
6117666160,3/20/2016,Sunday,1,535,551
6117666160,3/21/2016,Monday,1,493,509
